iter	Passed	Remaining
474	725	801
475	726	799
476	727	797
477	729	796
478	731	795
479	733	794
480	734	792
481	735	790
482	737	789
483	739	787
484	740	786
485	741	784
486	743	782
487	744	780
488	745	779
489	747	778
490	748	776
491	749	774
492	751	772
493	753	771
494	754	770
495	756	768
496	757	766
497	758	764
498	759	762
499	761	761
500	763	760
501	764	758
502	765	756
503	767	755
504	768	753
505	770	752
506	771	750
507	773	748
508	774	747
509	776	745
510	777	744
511	779	742
512	780	740
513	781	738
514	784	738
515	792	743
516	794	741
517	795	740
518	796	738
519	798	736
520	799	735
521	801	733
522	802	731
523	803	730
524	805	728
525	806	727
526	808	725
527	810	724
528	811	722
529	812	720
530	814	719
531	815	717
532	817	716
533	818	714
534	819	712
535	821	710
536	822	709
537	824	707
538	825	706
539	826	704
540	828	702
541	830	701
542	831	699
543	832	697
544	833	696
545	835	694
546	836	692
547	838	691
548	839	689
549	841	688
550	842	686
551	843	684
552	845	683
553	847	681
554	848	680
555	849	678
556	851	676
557	852	675
558	854	674
559	855	671
560	856	670
561	857	668
562	858	666
563	860	665
564	861	663
565	862	661
566	864	659
567	865	658
568	866	656
569	868	655
570	870	653
571	871	652
572	872	650
573	874	648
574	875	647
575	877	645
576	878	644
577	879	642
578	881	640
579	882	639
580	883	637
581	885	635
582	886	634
583	887	632
584	889	630
585	890	629
586	891	627
587	893	625
588	894	624
589	895	622
590	897	621
591	899	619
592	900	618
593	901	616
594	903	614
595	904	613
596	906	611
597	907	610
598	909	608
599	910	607
600	911	605
601	913	603
602	914	602
603	915	600
604	917	598
605	918	597
606	920	595
607	921	594
608	922	592
609	924	590
610	925	589
611	927	587
612	928	586
613	930	584
614	931	583
615	932	581
616	933	579
617	935	578
618	936	576
619	938	575
620	939	573
621	941	572
622	942	570
623	945	569
624	946	568
625	948	566
626	949	565
627	952	563
628	953	562
629	955	561
630	956	559
631	958	557
632	959	556
633	961	554
634	962	553
635	963	551
636	965	550
637	967	548
638	968	547
639	970	545
640	971	544
641	973	542
642	974	540
643	975	539
644	977	537
645	978	536
646	980	534
647	981	533
648	983	531
649	984	530
650	985	528
651	987	526
652	988	525
653	990	524
654	995	524
655	1024	537
656	1030	537
657	1038	540
658	1047	541
659	1048	540
660	1056	541
661	1061	542
662	1071	544
663	1083	548
664	1085	546
665	1086	545
666	1088	543
667	1101	547
668	1112	550
669	1120	551
670	1136	557
671	1138	555
672	1145	556
673	1150	556
674	1169	562
675	1174	563
676	1177	561
677	1188	564
678	1190	562
679	1193	561
680	1195	560
681	1197	558
682	1198	556
683	1200	554
684	1202	552
685	1203	550
686	1205	549
687	1206	547
688	1214	548
689	1218	547
690	1220	545
691	1220	543
692	1231	545
693	1233	543
694	1241	545
695	1245	543
696	1256	546
697	1257	544
698	1263	543
699	1269	544
700	1270	541
701	1272	540
702	1273	538
703	1274	536
704	1276	534
705	1277	532
706	1279	530
707	1281	528
708	1283	526
709	1285	525
710	1288	523
711	1289	521
712	1290	519
713	1291	517
714	1293	515
715	1295	513
716	1296	511
717	1298	509
718	1299	507
719	1301	506
720	1302	504
721	1304	502
722	1305	500
723	1306	498
724	1307	496
725	1309	494
726	1311	492
727	1313	490
728	1314	488
729	1316	486
730	1318	485
731	1319	483
732	1320	481
733	1322	479
734	1324	477
735	1325	475
736	1327	473
737	1328	471
738	1330	469
739	1332	468
740	1334	466
741	1336	464
742	1336	462
743	1338	460
744	1340	458
745	1341	456
746	1343	454
747	1344	452
748	1345	450
749	1347	449
750	1349	447
751	1351	445
752	1352	443
753	1354	441
754	1356	440
755	1357	438
756	1359	436
757	1360	434
758	1362	432
759	1364	430
760	1365	428
761	1366	426
762	1368	424
763	1370	423
764	1371	421
765	1373	419
766	1374	417
767	1376	415
768	1377	413
769	1378	411
770	1380	409
771	1381	407
772	1382	406
773	1384	404
774	1385	402
775	1387	400
776	1388	398
777	1389	396
778	1391	394
779	1392	392
780	1394	391
781	1395	389
782	1397	387
783	1398	385
784	1400	383
785	1401	381
786	1403	379
787	1404	377
788	1405	375
789	1407	374
790	1408	372
791	1410	370
792	1411	368
793	1413	366
794	1414	364
795	1415	362
796	1417	361
797	1418	359
798	1420	357
799	1421	355
800	1423	353
801	1424	351
802	1426	349
803	1427	348
804	1428	346
805	1430	344
806	1432	342
807	1433	340
808	1435	338
809	1436	336
810	1438	335
811	1439	333
812	1441	331
813	1442	329
814	1444	327
815	1445	325
816	1447	324
817	1449	322
818	1450	320
819	1452	318
820	1454	317
821	1455	315
822	1457	313
823	1458	311
824	1459	309
825	1461	307
826	1463	306
827	1464	304
828	1465	302
829	1467	300
830	1469	298
831	1470	296
832	1472	295
833	1473	293
834	1474	291
835	1476	289
836	1477	287
837	1479	286
838	1480	284
839	1482	282
840	1483	280
841	1485	278
842	1486	276
843	1487	275
844	1489	273
845	1490	271
846	1492	269
847	1493	267
848	1494	265
849	1496	264
850	1497	262
851	1499	260
852	1501	258
853	1502	256
854	1504	255
855	1505	253
856	1506	251
857	1508	249
858	1509	247
859	1511	245
860	1512	244
861	1513	242
862	1515	240
863	1516	238
864	1517	236
865	1518	234
866	1519	233
867	1521	231
868	1522	229
869	1523	227
870	1525	225
871	1526	224
872	1527	222
873	1529	220
874	1530	218
875	1531	216
876	1533	215
877	1534	213
878	1535	211
879	1537	209
880	1538	207
881	1539	206
882	1541	204
883	1542	202
884	1543	200
885	1545	198
886	1546	197
887	1547	195
888	1549	193
889	1550	191
890	1552	189
891	1553	188
892	1555	186
893	1556	184
894	1557	182
895	1559	180
896	1560	179
897	1562	177
898	1563	175
899	1564	173
900	1566	172
901	1568	170
902	1569	168
903	1570	166
904	1571	165
905	1573	163
906	1575	161
907	1576	159
908	1577	157
909	1579	156
910	1580	154
911	1582	152
912	1583	150
913	1584	149
914	1586	147
915	1587	145
916	1588	143
917	1590	142
918	1591	140
919	1592	138
920	1594	136
921	1595	134
922	1596	133
923	1598	131
924	1599	129
925	1600	127
926	1602	126
927	1603	124
928	1605	122
929	1606	120
930	1608	119
931	1609	117
932	1611	115
933	1615	114
934	1622	112
935	1623	111
936	1625	109
937	1626	107
938	1628	105
939	1629	104
940	1630	102
941	1632	100
942	1633	98
943	1634	96
944	1636	95
945	1637	93
946	1638	91
947	1639	89
948	1641	88
949	1642	86
950	1643	84
951	1644	82
952	1646	81
953	1647	79
954	1648	77
955	1650	75
956	1652	74
957	1653	72
958	1654	70
959	1656	69
960	1657	67
961	1658	65
962	1660	63
963	1661	62
964	1662	60
965	1663	58
966	1665	56
967	1666	55
968	1667	53
969	1669	51
970	1670	49
971	1671	48
972	1672	46
973	1674	44
974	1675	42
975	1676	41
976	1677	39
977	1678	37
978	1680	36
979	1681	34
980	1683	32
981	1684	30
982	1685	29
983	1686	27
984	1687	25
985	1689	23
986	1690	22
987	1691	20
988	1693	18
989	1694	17
990	1695	15
991	1697	13
992	1698	11
993	1699	10
994	1701	8
995	1702	6
996	1703	5
997	1704	3
998	1705	1
999	1707	0
