iter	RMSE
256	0.4376613536
257	0.4365616131
258	0.4353056
259	0.4351168162
260	0.4349408942
261	0.4347796822
262	0.4346215958
263	0.4332980653
264	0.4320795826
265	0.4317943471
266	0.4316365719
267	0.4313417788
268	0.4303628404
269	0.4292167123
270	0.4288575841
271	0.4287148349
272	0.4281556021
273	0.4280183915
274	0.4271074344
275	0.4267612047
276	0.4264688368
277	0.4263484537
278	0.4254023773
279	0.4251238401
280	0.4240725966
281	0.4231975232
282	0.4223074446
283	0.4221956994
284	0.4218905889
285	0.4206894062
286	0.4198286796
287	0.419323301
288	0.4181357085
289	0.4170651817
290	0.4169656612
291	0.4165315057
292	0.4155595312
293	0.4153618292
294	0.4140369857
295	0.4138172104
296	0.4136047443
297	0.4133993267
298	0.412606812
299	0.412251893
300	0.4114159492
301	0.4106385138
302	0.4094305243
303	0.4089061214
304	0.4087740345
305	0.408515478
306	0.4083401839
307	0.4073254162
308	0.406327215
309	0.4061212983
310	0.4055404302
311	0.4052334957
312	0.4050204601
313	0.4040678574
314	0.4034169047
315	0.4026279768
316	0.4025076964
317	0.4020373526
318	0.4019310416
319	0.4006482935
320	0.3999469715
321	0.3998230308
322	0.3987072631
323	0.3978445627
324	0.3970142061
325	0.3959300124
326	0.3954785538
327	0.3943461797
328	0.3942301569
329	0.3936775101
330	0.3932176147
331	0.3930934439
332	0.3929790079
333	0.3928823712
334	0.3917480657
335	0.3916482905
336	0.391197689
337	0.3906961502
338	0.3901010837
339	0.3892493321
340	0.3885298125
341	0.3881027521
342	0.387991403
343	0.3873445322
344	0.3859830373
345	0.3858925248
346	0.3849086814
347	0.3844876693
348	0.3834606582
349	0.3826119407
350	0.3814981414
351	0.3804613649
352	0.3803660675
353	0.3795058388
354	0.3788775982
355	0.3782900006
356	0.377690946
357	0.3768061888
358	0.3764269697
359	0.3753678346
360	0.3747893231
361	0.3742441772
362	0.373784691
363	0.3736996551
364	0.3727721456
365	0.3719605817
366	0.3712131663
367	0.3706079308
368	0.3699419379
369	0.3691275537
370	0.3685186453
371	0.3679798067
372	0.3672015237
373	0.3665329059
374	0.3661770603
375	0.3653196505
376	0.3645353547
377	0.3639624792
378	0.3634046714
379	0.3628810276
380	0.3623988503
381	0.3623259234
382	0.3622434507
383	0.3615870879
384	0.3612784894
385	0.3611270381
386	0.3603959844
387	0.359800338
388	0.3593354034
389	0.3592508412
390	0.3589813576
391	0.3588570279
392	0.358031103
393	0.357257174
394	0.3567959773
395	0.3564103954
396	0.3552181309
397	0.3551574943
398	0.3549533184
399	0.3549146129
400	0.354052336
401	0.353233943
402	0.3528175786
403	0.3519938315
404	0.3518287232
405	0.3514959464
406	0.351134768
407	0.3503433451
408	0.3497352575
409	0.3491764114
410	0.3487658803
411	0.3482153125
412	0.3478565618
413	0.3470549169
414	0.3468010731
415	0.3463838743
416	0.3457648129
417	0.3451604418
418	0.3450743661
419	0.3449964651
420	0.3441277839
421	0.3440450071
422	0.343287578
423	0.3425340968
424	0.3416377845
425	0.3409890904
426	0.340712105
427	0.3406338191
428	0.3398789246
429	0.3390695618
430	0.3385174577
431	0.3382233407
432	0.3377842095
433	0.3371274718
434	0.3367163665
435	0.3363561503
436	0.3355614765
437	0.3352237531
438	0.3348149198
439	0.3347359433
440	0.3341998664
441	0.3338324126
442	0.3332264913
443	0.3326861384
444	0.332165163
445	0.3318347767
446	0.3315261818
447	0.3310424659
448	0.3309519478
449	0.3303448157
450	0.3301384316
451	0.3294846268
452	0.3289439626
453	0.3283700081
454	0.3278934419
455	0.3275970586
456	0.3269582773
457	0.3262696665
458	0.325688949
459	0.3250981825
460	0.3243262409
461	0.3242336452
462	0.3238994878
463	0.322945131
464	0.3223527024
465	0.3219757393
466	0.3214957023
467	0.3211415757
468	0.320237908
469	0.31991484
470	0.3194418125
471	0.3192904026
472	0.3188863253
473	0.3185818898
474	0.318043171
475	0.3177275096
476	0.3173290299
477	0.3171285072
478	0.3169240741
479	0.3166082275
480	0.3162444254
481	0.3156895765
482	0.3153630294
483	0.3150042525
484	0.3149570026
485	0.314646134
486	0.3144841193
487	0.3136328727
488	0.313415828
489	0.3126148534
490	0.3122763637
491	0.3119971045
492	0.3116281991
493	0.3109890894
494	0.3104349591
495	0.3098379757
496	0.3093656951
497	0.3090683786
498	0.3084014631
499	0.3081290481
500	0.3077951119
501	0.3074702821
502	0.3066604781
503	0.3063504517
504	0.3058543662
505	0.3052204864
506	0.3050291679
507	0.3046780605
508	0.304572362
509	0.3042474806
510	0.3036976329
511	0.3030624464
512	0.3025532652
513	0.3025142133
514	0.3023257239
515	0.3019818051
516	0.3014919335
517	0.3008955602
518	0.3005286719
519	0.3000903469
520	0.2998935609
521	0.2994728957
522	0.2989264319
523	0.2984980114
524	0.2978834992
525	0.2978149929
526	0.2975426375
527	0.2974211885
528	0.2973712421
529	0.2969475591
530	0.2967595905
531	0.2965644568
532	0.2960475997
533	0.2957852887
534	0.2956752313
535	0.2951380775
536	0.2950492402
537	0.2947473726
538	0.2944962741
539	0.2942307566
540	0.2939248397
541	0.2935907572
542	0.2935559856
543	0.2934519798
544	0.2931957525
545	0.2925976783
546	0.2920493277
547	0.2917447936
548	0.2911964581
549	0.2909438216
550	0.2905612953
551	0.2900491083
552	0.2899953827
553	0.2898440132
554	0.2894420415
555	0.2894002606
556	0.2889204235
557	0.2884113208
558	0.2877934656
559	0.2877823494
560	0.2874958917
561	0.2871205271
562	0.2863456742
563	0.2859870186
564	0.2858582392
565	0.28547895
566	0.2850729873
567	0.2848642567
568	0.2844843207
569	0.2839349379
570	0.2836548869
571	0.2831521121
572	0.2827795706
573	0.2825766604
574	0.282070614
575	0.2820309722
576	0.2816355285
577	0.2814047284
578	0.2813747977
579	0.28134376
580	0.281052659
581	0.280517676
582	0.2804833406
583	0.2804583879
584	0.2799489352
585	0.279743753
586	0.2793963252
587	0.278949728
588	0.2787684157
589	0.2787420216
590	0.2782860619
591	0.2782034792
592	0.2777709305
593	0.2776016981
594	0.2772855769
595	0.2770403637
596	0.2766182121
597	0.2762914007
598	0.2760823339
599	0.2756501439
600	0.2753139922
601	0.2750102316
602	0.2746163799
603	0.274559467
604	0.2739655038
605	0.2732783767
606	0.2728594121
607	0.2727995124
608	0.2722281654
609	0.2719471152
610	0.2717213579
611	0.2712685771
612	0.2712463049
613	0.2707147105
614	0.2702229672
615	0.2698771031
616	0.2694154328
617	0.2693853307
618	0.2691014438
619	0.2685789088
620	0.2683603708
621	0.267814739
622	0.2672716169
623	0.2670838222
624	0.2669082055
625	0.266459052
626	0.266383261
627	0.2663538084
628	0.2661315989
629	0.2657427356
630	0.2653523735
631	0.2651944396
632	0.2650028692
633	0.2648322307
634	0.264552989
635	0.2645254284
636	0.2641144942
637	0.264012829
638	0.2639864467
639	0.2634594766
640	0.2632181692
641	0.2631089893
642	0.2631011451
643	0.2630741708
644	0.2628630517
645	0.26253844
646	0.2625133141
647	0.2621183572
648	0.261892751
649	0.2615972702
650	0.2614035164
651	0.2611403159
652	0.2610061137
653	0.2608259484
654	0.2606016273
655	0.2604568576
656	0.2602572186
657	0.2600672167
658	0.2598205095
659	0.259649045
660	0.2594029238
661	0.2588859809
662	0.2588438699
663	0.2585934616
664	0.2583995967
665	0.2580925174
666	0.2579950304
667	0.2578084363
668	0.2574319404
669	0.2572602499
670	0.2572370966
671	0.2566820216
672	0.2566566135
673	0.2564629679
674	0.2563339691
675	0.2562876249
676	0.2561350024
677	0.2559612923
678	0.2554016094
679	0.2550420763
680	0.2544452487
681	0.2543098641
682	0.2539746609
683	0.253646969
684	0.2533621036
685	0.2528931343
686	0.2525693929
687	0.252543373
688	0.2525155504
689	0.2522641703
690	0.2519751553
691	0.2519687915
692	0.2517800532
693	0.2515887216
694	0.2515699183
695	0.2511774832
696	0.250956979
697	0.2509316323
698	0.2507609813
699	0.2506897632
700	0.2506764298
701	0.2503083171
702	0.2501185892
703	0.2499076452
704	0.2494536769
705	0.2489196527
706	0.2484904578
707	0.2482999226
708	0.2480750505
709	0.2476639346
710	0.2476340002
711	0.2471601508
712	0.2467222454
713	0.2462916112
714	0.2458909623
715	0.2457163132
716	0.2456117399
717	0.2454582429
718	0.2449076972
719	0.2443998816
720	0.2439652446
721	0.2437560845
722	0.2437515974
723	0.2435550609
724	0.2433047307
725	0.2432095223
726	0.2427591406
727	0.2425233771
728	0.2423752887
729	0.2422767517
730	0.242155079
731	0.2417538921
732	0.2413982631
733	0.2409698984
734	0.2404789427
735	0.2404612952
736	0.2401565306
737	0.2396609581
738	0.2395839527
739	0.2394353979
740	0.2392698746
741	0.2388970525
742	0.2388801226
743	0.238577318
744	0.2381891679
745	0.2381817111
746	0.2381488313
747	0.237757041
748	0.2376520167
749	0.2373331987
750	0.2373171273
751	0.2372356538
752	0.2371227309
753	0.2368054743
754	0.2364119188
755	0.2361651542
756	0.236003543
757	0.2357900423
758	0.23559804
759	0.2353915543
760	0.2349571314
761	0.234549029
762	0.2343600579
763	0.2342145663
764	0.2341939079
765	0.2338940872
766	0.2334306194
767	0.2331873214
768	0.2331711533
769	0.2329853393
770	0.2329675486
771	0.2325367436
772	0.2323322667
773	0.2319853491
774	0.2317097338
775	0.2315849261
776	0.231254441
777	0.2310650164
778	0.2307273936
779	0.2304653965
780	0.2303924643
781	0.2300919265
782	0.2299183464
783	0.2295881084
784	0.2292874936
785	0.2288713785
786	0.2285607372
787	0.2284584143
788	0.2282922785
789	0.2280234398
790	0.2276653682
791	0.2275501501
792	0.227329536
793	0.2269799768
794	0.2269567418
795	0.2269506004
796	0.2268297863
797	0.2264546322
798	0.2263972716
799	0.2260815016
800	0.2258307121
801	0.2256538656
802	0.2255065801
803	0.2251991862
804	0.2250384777
805	0.2249000717
806	0.2245463892
807	0.2243763633
808	0.2242511505
809	0.2242317098
810	0.2240657566
811	0.2237788084
812	0.2234857538
813	0.2231151403
814	0.2227493383
815	0.2225998816
816	0.222409475
817	0.2222815814
818	0.2221358539
819	0.221744835
820	0.2213913652
821	0.2212434661
822	0.2210019551
823	0.2208595679
824	0.2204465785
825	0.2200486597
826	0.2195274849
827	0.2194384108
828	0.2192524121
829	0.2191779624
830	0.2187896044
831	0.2186718525
832	0.2185359339
833	0.2182140256
834	0.217947398
835	0.2179340794
836	0.2177580778
837	0.2177405854
838	0.2172528617
839	0.217002973
840	0.2169822151
841	0.2167148193
842	0.2164140417
843	0.2164016648
844	0.2162897229
845	0.2160527066
846	0.2160387533
847	0.2157603736
848	0.215538722
849	0.2152631938
850	0.2151443189
851	0.2148827517
852	0.2147708885
853	0.2144488385
854	0.2142364114
855	0.2138915779
856	0.2135836409
857	0.2134189761
858	0.2133965496
859	0.213139552
860	0.2126929914
861	0.2124904769
862	0.2122677436
863	0.212254623
864	0.211892925
865	0.2118757238
866	0.2115681428
867	0.2113172736
868	0.2109995741
869	0.2107998613
870	0.210700249
871	0.210527487
872	0.2102451957
873	0.2102294319
874	0.2101354847
875	0.210081695
876	0.2100642496
877	0.2098964254
878	0.2096554325
879	0.2095088674
880	0.2094211356
881	0.2092969961
882	0.2092852001
883	0.2092373741
884	0.2089483956
885	0.2088444
886	0.2087372598
887	0.2084348497
888	0.2084118687
889	0.2081216152
890	0.2079206684
891	0.2075208244
892	0.2072484189
893	0.2069466833
894	0.2066857684
895	0.2066389129
896	0.2063761307
897	0.20618015
898	0.2060806829
899	0.2059772441
900	0.2056718321
901	0.2055735125
902	0.2051986502
903	0.2051922303
904	0.205177483
905	0.2050145021
906	0.2046875879
907	0.2046165155
908	0.204570407
909	0.2042814722
910	0.2039154446
911	0.2038185298
912	0.2036312347
913	0.2033443072
914	0.2033366679
915	0.2033309139
916	0.2031251638
917	0.2029431375
918	0.2026760659
919	0.20252076
920	0.2024825425
921	0.2023149771
922	0.202257988
923	0.2021643781
924	0.2021530141
925	0.2019376713
926	0.2016049873
927	0.2013206879
928	0.2012055634
929	0.2010860863
930	0.2008136345
931	0.2007742488
932	0.2006072318
933	0.2004319739
934	0.2001034735
935	0.1999964137
936	0.199830176
937	0.1995250565
938	0.1992353677
939	0.1992204956
940	0.1989509543
941	0.1988714344
942	0.1988569703
943	0.1988441123
944	0.1985908406
945	0.1985787823
946	0.1984370417
947	0.1984133823
948	0.1982575226
949	0.1982442381
950	0.1982300441
951	0.1981167498
952	0.1979202053
953	0.197902718
954	0.1978932701
955	0.197682576
956	0.1974224009
957	0.1972107656
958	0.1970593674
959	0.1969286977
960	0.1966557784
961	0.1964101544
962	0.1961039423
963	0.1958485868
964	0.1956625856
965	0.1954175801
966	0.1951959563
967	0.1951251353
968	0.1950281999
969	0.1949154474
970	0.19486636
971	0.1948513447
972	0.1947255006
973	0.1946327484
974	0.1945118006
975	0.1944704637
976	0.1944050751
977	0.1940554266
978	0.1937980422
979	0.1935285491
980	0.1931190932
981	0.193112704
982	0.1929224722
983	0.1926802062
984	0.1926585513
985	0.1925468501
986	0.1922235192
987	0.1921540043
988	0.1920098861
989	0.1917697794
990	0.1915936592
991	0.1913721005
992	0.1913599903
993	0.1911194782
994	0.1910344359
995	0.1908983578
996	0.1908012983
997	0.1906312195
998	0.1904566779
999	0.1903817034
